ProductId|Name|Brand|Price|Quantity|Description
1|MacBook Pro 15|Apple|46000000.00|4|Mẫu laptop chuyên nghiệp cho công việc sáng tạo.
2|MacBook Pro 13|Apple|42000000.00|4|Mẫu laptop chuyên nghiệp cho công việc sáng tạo nội dung.
3|Dell XPS 14|Dell|33000000.00|0|Mẫu laptop nhỏ gọn với thiết kế sang trọng, lịch lãm.
4|Dell XPS 13|Dell|30000000.00|5|Mẫu laptop nhỏ gọn với thiết kế sang trọng.
5|HP Spectre x360|HP|40000000.00|5|Mẫu laptop 2 trong 1 với khả năng gập linh hoạt.
6|Asus ROG Zephyrus G14|Asus|35000000.00|5|Mẫu laptop gaming mạnh mẽ với thiết kế nhỏ gọn.
7|Acer Swift 3|Acer|20000000.00|5|Mẫu laptop giá rẻ nhưng hiệu năng tốt cho sinh viên.
8|Microsoft Surface Laptop 4|Microsoft|36000000.00|5|Mẫu laptop thanh lịch với màn hình cảm ứng.
9|MacBook Air M2|Apple|30000000.00|5|Laptop siêu mỏng với hiệu năng mạnh mẽ từ chip M2.
10|Dell Inspiron 15|Dell|20000000.00|5|Laptop phổ thông với giá hợp lý và hiệu năng ổn định.
12|HP Pavilion 15|HP|20000000.00|5|Laptop phổ thông phù hợp cho học sinh, sinh viên.
13|Asus TUF Gaming A15|Asus|25000000.00|5|Laptop gaming với độ bền cao và hiệu năng ổn định.
14|Asus VivoBook 14|Asus|18000000.00|5|Laptop phổ thông với giá rẻ và cấu hình ổn định.
15|Acer Aspire 5|Acer|15000000.00|5|Laptop phổ thông với giá cả phải chăng và cấu hình ổn định.
16|Acer Nitro 5|Acer|22000000.00|5|Laptop gaming giá rẻ với hiệu suất đồ họa tốt.
17|Microsoft Surface Pro 7|Microsoft|28000000.00|5|Laptop 2 trong 1 với hiệu suất mạnh mẽ và thiết kế linh hoạt.
18|Microsoft Surface Go 2|Microsoft|18000000.00|5|Laptop nhỏ gọn phù hợp cho sinh viên và di chuyển nhiều.
19|Razer Book 13|Razer|30000000.00|5|Laptop mỏng nhẹ, hiệu suất mạnh, thích hợp cho công việc và giải trí.
20|Razer Blade Pro 17|Razer|60000000.00|5|Laptop gaming cỡ lớn với hiệu năng mạnh mẽ dành cho game thủ chuyên nghiệp.
21|Razer Blade 14|Razer|50000000.00|3|Laptop gaming nhỏ gọn với cấu hình mạnh và thiết kế sang trọng.
22|Macbook Apple 16|Apple|12000000.00|5|Laptop đẹp.
